Commune;Code Postal;Code INSEE
L'Abergement-Clemenciat;1400;1001
L'Abergement-De-Varey;1640;1002
Amberieu-En-Bugey;1500;1004
Amberieux-En-Dombes;1330;1005
Ambleon;1300;1006
Ambronay;1500;1007
Ambutrix;1500;1008
Andert-Et-Condon;1300;1009
Anglefort;1350;1010
Apremont;1100;1011
Aranc;1110;1012
Arandas;1230;1013
Arbent;1100;1014
Arbignieu;1300;1015
Arbigny;1190;1016
Argis;1230;1017
Armix;1510;1019
Ars-Sur-Formans;1480;1021
Artemare;1510;1022
Asnieres-Sur-Saone;1570;1023
Attignat;1340;1024
Bage-La-Ville;1380;1025
Bage-Le-Chatel;1380;1026
Balan;1360;1027
Baneins;1990;1028
Beaupont;1270;1029
Beauregard;1480;1030
Bellignat;1100;1031
Beligneux;1360;1032
Bellegarde-Sur-Valserine;1200;1033
Belley;1300;1034
Belleydoux;1130;1035
Belmont-Luthezieu;1260;1036
Benonces;1470;1037
Beny;1370;1038
Beon;1350;1039
Bereziat;1340;1040
Bettant;1500;1041
Bey;1290;1042
Beynost;1700;1043
Billiat;1200;1044
Birieux;1330;1045
Biziat;1290;1046
Blyes;1150;1047
La Boisse;1120;1049
Boissey;1190;1050
Bolozon;1450;1051
Bouligneux;1330;1052
Bourg-En-Bresse;1000;1053
Bourg-Saint-Christophe;1800;1054
Boyeux-Saint-Jerome;1640;1056
Boz;1190;1057
Bregnier-Cordon;1300;1058
Brenaz;1260;1059
Brenod;1110;1060
Brens;1300;1061
Bressolles;1360;1062
Brion;1460;1063
Briord;1470;1064
Buellas;1310;1065
La Burbanche;1510;1066
Ceignes;1430;1067
Cerdon;1450;1068
Certines;1240;1069
Cessy;1170;1071
Ceyzeriat;1250;1072
Ceyzerieu;1350;1073
Chalamont;1320;1074
Chaleins;1480;1075
Chaley;1230;1076
Challes-La-Montagne;1450;1077
Challex;1630;1078
Champagne-En-Valromey;1260;1079
Champdor;1110;1080
Champfromier;1410;1081
Chanay;1420;1082
Chaneins;1990;1083
Chanoz-Chatenay;1400;1084
La Chapelle-Du-Chatelard;1240;1085
Charix;1130;1087
Charnoz-Sur-Ain;1800;1088
Chateau-Gaillard;1500;1089
Chatenay;1320;1090
Chatillon-En-Michaille;1200;1091
Chatillon-La-Palud;1320;1092
Chatillon-Sur-Chalaronne;1400;1093
Chavannes-Sur-Reyssouze;1190;1094
Chavannes-Sur-Suran;1250;1095
Chaveyriat;1660;1096
Chavornay;1510;1097
Chazey-Bons;1300;1098
Chazey-Sur-Ain;1150;1099
Cheignieu-La-Balme;1510;1100
Chevillard;1430;1101
Chevroux;1190;1102
Chevry;1170;1103
Chezery-Forens;1410;1104
Civrieux;1390;1105
Cize;1250;1106
Cleyzieu;1230;1107
Coligny;1270;1108
Collonges;1550;1109
Colomieu;1300;1110
Conand;1230;1111
Condamine;1430;1112
Condeissiat;1400;1113
Confort;1200;1114
Confrancon;1310;1115
Contrevoz;1300;1116
Conzieu;1300;1117
Corbonod;1420;1118
Corcelles;1110;1119
Corlier;1110;1121
Cormaranche-En-Bugey;1110;1122
Cormoranche-Sur-Saone;1290;1123
Cormoz;1560;1124
Corveissiat;1250;1125
Courmangoux;1370;1127
Courtes;1560;1128
Crans;1320;1129
Cras-Sur-Reyssouze;1340;1130
Cressin-Rochefort;1350;1133
Crottet;1290;1134
Crozet;1170;1135
Cruzilles-Les-Mepillat;1290;1136
Culoz;1350;1138
Curciat-Dongalon;1560;1139
Curtafond;1310;1140
Cuzieu;1300;1141
Dagneux;1120;1142
Divonne-Les-Bains;1220;1143
Dommartin;1380;1144
Dompierre-Sur-Veyle;1240;1145
Dompierre-Sur-Chalaronne;1400;1146
Domsure;1270;1147
Dortan;1590;1148
Douvres;1500;1149
Drom;1250;1150
Druillat;1160;1151
Echallon;1130;1152
Echenevex;1170;1153
Etrez;1340;1154
